"velocity:0","velocity:1","velocity:2","density","Cell Type"
-0.000407,2.5e-05,0.000751,0.99962,12
-0.000827,1.9e-05,0.000811,0.99964,12
-0.001178,1.1e-05,0.000596,0.99975,12
-0.001372,4e-06,0.000217,0.99991,12
-0.001373,-4e-06,-0.000215,1.0001,12
-0.001181,-1.1e-05,-0.000595,1.0002,12
-0.000829,-1.8e-05,-0.000812,1.0004,12
-0.000409,-2.4e-05,-0.000754,1.0004,12
-7.8e-05,-1.8e-05,-0.000349,1.0003,12
-6.9e-05,2.6e-05,0.00032,0.99967,12
-0.00036,3.2e-05,0.000677,0.9996,12
-0.000731,2.3e-05,0.000724,0.99964,12
-0.00104,1.3e-05,0.000529,0.99975,12
-0.001211,4e-06,0.000193,0.99991,12
-0.001212,-4e-06,-0.00019,1.0001,12
-0.001043,-1.3e-05,-0.000528,1.0002,12
-0.000734,-2.2e-05,-0.000724,1.0004,12
-0.000362,-3e-05,-0.000679,1.0004,12
-6.9e-05,-2.6e-05,-0.00032,1.0003,12
-5.1e-05,2.2e-05,0.000258,0.99963,12
-0.000269,2.3e-05,0.000526,0.99958,12
-0.000548,1.6e-05,0.000552,0.99963,12
-0.000779,9e-06,0.0004,0.99975,12
-0.000908,3e-06,0.000146,0.99991,12
-0.000909,-3e-06,-0.000141,1.0001,12
-0.000782,-8e-06,-0.000397,1.0002,12
-0.00055,-1.5e-05,-0.000551,1.0004,12
-0.000271,-2.2e-05,-0.000527,1.0004,12
-5.1e-05,-2.1e-05,-0.000258,1.0004,12
-2.3e-05,6e-06,0.000126,0.99958,12
-0.000114,5e-06,0.000242,0.99957,12
-0.000231,4e-06,0.000244,0.99962,12
-0.000328,2e-06,0.000173,0.99975,12
-0.000381,1e-06,6.3e-05,0.99991,12
-0.000382,-1e-06,-6e-05,1.0001,12
-0.00033,-2e-06,-0.000171,1.0003,12
-0.000233,-4e-06,-0.000243,1.0004,12
-0.000115,-5e-06,-0.000241,1.0004,12
-2.3e-05,-6e-06,-0.000126,1.0004,12
-3.5e-05,-7e-06,0.000211,0.99936,12
-0.000163,-7e-06,0.00039,0.99935,12
-0.000312,-7e-06,0.000379,0.99945,12
-0.000424,-5e-06,0.000261,0.99964,12
-0.000482,-2e-06,9.3e-05,0.99987,12
-0.000483,2e-06,-8.9e-05,1.0001,12
-0.000427,5e-06,-0.000258,1.0004,12
-0.000315,7e-06,-0.000378,1.0005,12
-0.000165,7e-06,-0.00039,1.0007,12
